,trial_number,ml,mr,pr,pl,rr,rl,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,mag_left,mag_right,info_amb,info_l,info_r,prob_out_l,prob_out_r,prob_out_l_bayes,prob_out_r_bayes,ambig_l,ambig_r,prob_out_ambig,prob_out_unambig,mag_ambig,mag_unambig,resp_amb_1,prob_out_ambig_bayes
258,258,63.0,8.0,0.8,0.48,1.0,0.1,3.0,2.0,10.0,40.0,63.0,8.0,0.1,0.1,1.0,0.4,0.8,0.42857142857142855,0.8,1.0,0.0,0.4,0.8,63.0,8.0,,0.42857142857142855
259,259,11.0,31.0,0.52,0.8,1.0,1.0,11.0,39.0,24.0,26.0,11.0,31.0,1.0,1.0,1.0,0.78,0.52,0.78,0.52,0.0,0.0,,,,,,
260,260,-31.0,-31.0,0.48,0.96,1.0,1.0,3.0,47.0,25.0,25.0,-31.0,-31.0,1.0,1.0,1.0,0.94,0.5,0.94,0.5,0.0,0.0,,,,,,
261,261,-11.0,-2.0,0.78,0.96,1.0,1.0,2.0,48.0,12.0,38.0,-11.0,-2.0,1.0,1.0,1.0,0.96,0.76,0.96,0.76,0.0,0.0,,,,,,
262,262,-44.0,-61.0,0.26,0.34,1.0,1.0,33.0,17.0,36.0,14.0,-44.0,-61.0,1.0,1.0,1.0,0.34,0.28,0.34,0.28,0.0,0.0,,,,,,
263,263,-38.0,-27.0,0.56,0.8,1.0,1.0,10.0,40.0,23.0,27.0,-38.0,-27.0,1.0,1.0,1.0,0.8,0.54,0.8,0.54,0.0,0.0,,,,,,
264,264,-55.0,-100.0,0.9,0.62,0.8,1.0,19.0,31.0,6.0,34.0,-55.0,-100.0,0.8,1.0,0.8,0.62,0.85,0.62,0.8333333333333334,0.0,1.0,0.85,0.62,-100.0,-55.0,,0.8333333333333334
265,265,33.0,60.0,0.26,0.42,0.4,1.0,28.0,22.0,17.0,3.0,33.0,60.0,0.4,1.0,0.4,0.44,0.15,0.44,0.18181818181818182,0.0,1.0,0.15,0.44,60.0,33.0,,0.18181818181818182
266,266,60.0,94.0,0.16,0.88,1.0,0.02,0.0,1.0,42.0,8.0,60.0,94.0,0.02,0.02,1.0,1.0,0.16,0.6666666666666666,0.16,1.0,0.0,1.0,0.16,60.0,94.0,,0.6666666666666666
267,267,72.0,89.0,0.8,0.96,1.0,0.1,0.0,5.0,10.0,40.0,72.0,89.0,0.1,0.1,1.0,1.0,0.8,0.8571428571428571,0.8,1.0,0.0,1.0,0.8,72.0,89.0,,0.8571428571428571
268,268,11.0,14.0,0.24,0.48,1.0,1.0,26.0,24.0,37.0,13.0,11.0,14.0,1.0,1.0,1.0,0.48,0.26,0.48,0.26,0.0,0.0,,,,,,
269,269,125.0,5.0,0.92,0.04,1.0,1.0,48.0,2.0,4.0,46.0,125.0,5.0,1.0,1.0,1.0,0.04,0.92,0.04,0.92,0.0,0.0,,,,,,
270,270,38.0,42.0,0.72,0.8,1.0,1.0,10.0,40.0,14.0,36.0,38.0,42.0,1.0,1.0,1.0,0.8,0.72,0.8,0.72,0.0,0.0,,,,,,
271,271,80.0,89.0,0.68,0.8,1.0,1.0,10.0,40.0,16.0,34.0,80.0,89.0,1.0,1.0,1.0,0.8,0.68,0.8,0.68,0.0,0.0,,,,,,
272,272,114.0,78.0,0.88,0.56,1.0,1.0,22.0,28.0,6.0,44.0,114.0,78.0,1.0,1.0,1.0,0.56,0.88,0.56,0.88,0.0,0.0,,,,,,
273,273,63.0,58.0,0.52,0.08,0.1,1.0,45.0,5.0,2.0,3.0,63.0,58.0,0.1,1.0,0.1,0.1,0.6,0.1,0.5714285714285714,0.0,1.0,0.6,0.1,58.0,63.0,,0.5714285714285714
274,274,5.0,25.0,0.6,0.96,1.0,1.0,3.0,47.0,20.0,30.0,5.0,25.0,1.0,1.0,1.0,0.94,0.6,0.94,0.6,0.0,0.0,,,,,,
275,275,-40.0,-50.0,0.5,0.72,1.0,0.1,1.0,4.0,25.0,25.0,-40.0,-50.0,0.1,0.1,1.0,0.8,0.5,0.7142857142857143,0.5,1.0,0.0,0.8,0.5,-40.0,-50.0,,0.7142857142857143
276,276,-12.0,-134.0,0.06,0.72,1.0,1.0,14.0,36.0,46.0,4.0,-12.0,-134.0,1.0,1.0,1.0,0.72,0.08,0.72,0.08,0.0,0.0,,,,,,
277,277,-39.0,-42.0,0.44,0.32,1.0,1.0,34.0,16.0,27.0,23.0,-39.0,-42.0,1.0,1.0,1.0,0.32,0.46,0.32,0.46,0.0,0.0,,,,,,
278,278,-17.0,-50.0,0.6,0.88,1.0,1.0,6.0,44.0,21.0,29.0,-17.0,-50.0,1.0,1.0,1.0,0.88,0.58,0.88,0.58,0.0,0.0,,,,,,
